BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
18:D6:C7:6B:DA:A8, 2019-07-10 02:34:31, 2019-07-10 02:46:57, 13, 270, WPA2, CCMP, PSK, -80,      114,        1,   0.  0.  0.  0,   8, ALEX-NET, 
50:0F:F5:8E:8F:78, 2019-07-10 02:34:54, 2019-07-10 02:46:59,  3, 270, WPA2, CCMP, PSK, -81,       18,        0,   0.  0.  0.  0,   7, Kitchen, 
78:44:76:3F:80:AE, 2019-07-10 02:35:26, 2019-07-10 02:46:48, 11,  65, WPA2, CCMP, PSK, -81,       16,        0,   0.  0.  0.  0,  17, 103691.pautina.ua, 
F8:1A:67:8B:44:C8, 2019-07-10 02:35:28, 2019-07-10 02:46:49,  1, 270, WPA2, CCMP, PSK, -82,       12,        0,   0.  0.  0.  0,   6, karina, 
B0:48:7A:AE:B7:B6, 2019-07-10 02:45:04, 2019-07-10 02:46:24,  4, 270, WPA2 WPA, CCMP TKIP, PSK, -82,        3,        0,   0.  0.  0.  0,  10, Home 11646, 
10:FE:ED:F2:69:32, 2019-07-10 02:34:52, 2019-07-10 02:45:22,  1, 130, WPA2, CCMP, PSK, -81,        3,        0,   0.  0.  0.  0,   5, Tulen, 
E8:65:D4:74:D9:21, 2019-07-10 02:35:36, 2019-07-10 02:35:36,  1, 270, WPA2, CCMP TKIP, PSK, -82,        1,        0,   0.  0.  0.  0,  11, DOMIK-Tenda, 
04:8D:38:4C:C8:16, 2019-07-10 02:42:07, 2019-07-10 02:42:07,  5, 270, WPA2, CCMP TKIP, PSK, -82,        1,        0,   0.  0.  0.  0,   4, home, 
A0:F3:C1:7E:E2:2E, 2019-07-10 02:35:14, 2019-07-10 02:46:05,  1, 135, WPA2, CCMP TKIP, PSK, -82,       16,        0,   0.  0.  0.  0,  10, muzludmila, 
AC:22:0B:EC:13:58, 2019-07-10 02:46:13, 2019-07-10 02:46:28, 13,  54, WPA2, CCMP TKIP, PSK, -80,        3,        0,   0.  0.  0.  0,  14, dom_terpimosti, 
00:23:CD:20:67:F8, 2019-07-10 02:46:20, 2019-07-10 02:46:56,  1, 270, WPA2 WPA, CCMP TKIP, PSK, -80,        1,        1,   0.  0.  0.  0,   6, home39, 
7C:8B:CA:EF:C4:47, 2019-07-10 02:34:44, 2019-07-10 02:46:56,  1,  65, WPA2, CCMP, PSK, -80,        3,        0,   0.  0.  0.  0,  17, UKrtelecom_EFC447, 
00:1F:1F:EA:F7:74, 2019-07-10 02:34:36, 2019-07-10 02:47:24, 11, 135, WPA2, CCMP, PSK, -82,       30,        1,   0.  0.  0.  0,   5, Ðš202, 
14:B9:68:4D:3B:68, 2019-07-10 02:45:29, 2019-07-10 02:47:11,  1,  65, WPA2 WPA, CCMP TKIP, PSK, -80,        4,        0,   0.  0.  0.  0,  15, MobileWiFi-3b68, 
F8:1A:67:06:B0:C6, 2019-07-10 02:34:43, 2019-07-10 02:47:25,  6, 130, WPA2 WPA, CCMP, PSK, -80,       41,        0,   0.  0.  0.  0,   6, 102210, 
AC:22:0B:BD:C9:E2, 2019-07-10 02:34:38, 2019-07-10 02:47:27, 13, 130, WPA2, CCMP, PSK, -79,       36,        3,   0.  0.  0.  0,   5, SIRKO, 
90:F6:52:96:47:C6, 2019-07-10 02:34:34, 2019-07-10 02:47:22,  9,  65, WPA2, CCMP, PSK, -80,       70,        0,   0.  0.  0.  0,   8, Sasha111, 
C8:60:00:AF:B1:80, 2019-07-10 02:34:39, 2019-07-10 02:47:13,  2,  54, WPA2, CCMP, PSK, -80,       89,        1,   0.  0.  0.  0,   6, kluiko, 
E8:94:F6:3B:53:A6, 2019-07-10 02:34:36, 2019-07-10 02:47:25,  6, 135, WPA2 WPA, CCMP TKIP, PSK, -80,      153,        4,   0.  0.  0.  0,   7, home308, 
14:B9:68:4D:3B:54, 2019-07-10 02:34:36, 2019-07-10 02:47:24, 11,  65, WPA2, CCMP, PSK, -80,      140,        0,   0.  0.  0.  0,   8, 602_room, 
E8:94:F6:8F:D7:EC, 2019-07-10 02:34:33, 2019-07-10 02:47:22,  9, 270, WPA2 WPA, CCMP TKIP, PSK, -78,      154,        8,   0.  0.  0.  0,   7, home104, 
14:CC:20:88:2E:4C, 2019-07-10 02:34:36, 2019-07-10 02:47:25,  6, 135, WPA2 WPA, CCMP TKIP, PSK, -75,      152,        1,   0.  0.  0.  0,   7, Home304, 
04:8D:38:86:99:CE, 2019-07-10 02:34:30, 2019-07-10 02:47:26,  1, 135, WPA2, CCMP TKIP, PSK, -73,      143,        3,   0.  0.  0.  0,   5, julia, 
04:8D:38:5A:D2:79, 2019-07-10 02:34:31, 2019-07-10 02:47:27,  2, 270, WPA2, CCMP TKIP, PSK, -73,      163,        2,   0.  0.  0.  0,   5, 12345, 
08:10:7B:53:C0:71, 2019-07-10 02:34:36, 2019-07-10 02:47:24, 11, 270, WPA2, CCMP, PSK, -72,      202,        0,   0.  0.  0.  0,   3, DIR, 
EC:43:F6:E0:84:1C, 2019-07-10 02:34:32, 2019-07-10 02:47:21,  3, 270, WPA2, CCMP, PSK, -68,      239,       12,   0.  0.  0.  0,  13, Keenetic-7096, 
00:15:FF:A7:E8:51, 2019-07-10 02:34:36, 2019-07-10 02:47:25,  6,  65, WPA2, CCMP, PSK, -52,      243,       12,   0.  0.  0.  0,  22, Verizon-MiFi5510L-E851, 
14:B9:68:4D:3B:2F, 2019-07-10 02:34:36, 2019-07-10 02:47:24, 11,  65, WPA2 WPA, CCMP TKIP, PSK, -36,      218,       14,   0.  0.  0.  0,  15, MobileWiFi-3b2f, 
BA:53:AC:9C:67:D2, 2019-07-10 02:34:30, 2019-07-10 02:47:26,  1, 130, WPA2, CCMP, PSK, -19,      218,       28,   0.  0.  0.  0,   3, TD7, 
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:7D:F3:CD, 2019-07-10 02:46:19, 2019-07-10 02:46:19, -78,        4, (not associated) ,
DA:A1:19:1B:CA:09, 2019-07-10 02:45:56, 2019-07-10 02:45:56, -54,        5, (not associated) ,
DA:A1:19:98:DB:18, 2019-07-10 02:45:45, 2019-07-10 02:45:45, -58,        2, (not associated) ,
1A:A9:4E:3D:A0:F7, 2019-07-10 02:45:06, 2019-07-10 02:45:06, -50,        2, (not associated) ,
DA:A1:19:CF:01:E2, 2019-07-10 02:45:06, 2019-07-10 02:45:06, -56,        4, (not associated) ,
B8:53:AC:9C:67:D2, 2019-07-10 02:44:44, 2019-07-10 02:44:44, -18,        6, 14:B9:68:4D:3B:2F,
DA:A1:19:EB:9D:51, 2019-07-10 02:44:41, 2019-07-10 02:44:41, -60,        1, (not associated) ,
30:E3:7A:49:46:A2, 2019-07-10 02:39:46, 2019-07-10 02:44:29, -78,        4, 00:1F:1F:EA:F7:74,
40:83:1D:6A:D2:24, 2019-07-10 02:43:33, 2019-07-10 02:43:33,  -1,        1, C8:60:00:AF:B1:80,
12:B5:DD:65:D4:C1, 2019-07-10 02:38:52, 2019-07-10 02:42:43, -80,        5, (not associated) ,
F6:21:D1:C9:55:6F, 2019-07-10 02:42:30, 2019-07-10 02:42:30, -54,        2, (not associated) ,
70:3A:51:8B:16:3C, 2019-07-10 02:39:37, 2019-07-10 02:42:07, -68,        2, 00:1F:1F:EA:F7:74,
DA:A1:19:AF:4E:39, 2019-07-10 02:41:45, 2019-07-10 02:41:45, -78,        1, (not associated) ,
DA:A1:19:14:EA:9E, 2019-07-10 02:41:44, 2019-07-10 02:41:44, -78,        2, (not associated) ,
DA:A1:19:1D:31:D4, 2019-07-10 02:39:33, 2019-07-10 02:39:33, -74,        2, (not associated) ,
DA:A1:19:54:21:E0, 2019-07-10 02:39:31, 2019-07-10 02:39:31, -76,        4, (not associated) ,
DA:A1:19:FF:AA:26, 2019-07-10 02:39:33, 2019-07-10 02:39:33, -82,        2, (not associated) ,
DA:A1:19:A4:59:4F, 2019-07-10 02:39:27, 2019-07-10 02:39:30, -82,        2, (not associated) ,
DA:A1:19:20:77:62, 2019-07-10 02:39:08, 2019-07-10 02:39:08, -78,        1, (not associated) ,
DA:A1:19:EF:CD:F8, 2019-07-10 02:38:45, 2019-07-10 02:38:45, -76,        3, (not associated) ,
6A:73:4C:35:A3:A7, 2019-07-10 02:38:43, 2019-07-10 02:38:43, -78,        1, (not associated) ,
DA:A1:19:4E:EF:27, 2019-07-10 02:38:31, 2019-07-10 02:38:31, -78,        4, (not associated) ,
FC:53:9E:95:0C:80, 2019-07-10 02:38:19, 2019-07-10 02:38:19, -78,        1, 18:D6:C7:6B:DA:A8,
26:69:AF:45:CB:66, 2019-07-10 02:38:19, 2019-07-10 02:38:19, -82,        1, (not associated) ,
DA:A1:19:10:AF:28, 2019-07-10 02:38:09, 2019-07-10 02:38:09, -76,        1, (not associated) ,
36:BE:20:F3:5E:52, 2019-07-10 02:37:17, 2019-07-10 02:37:18, -58,        2, (not associated) ,
DA:A1:19:03:27:D1, 2019-07-10 02:36:58, 2019-07-10 02:36:58, -78,        2, (not associated) ,
EE:02:09:56:7F:2D, 2019-07-10 02:36:42, 2019-07-10 02:36:42, -80,        1, (not associated) ,
26:D5:76:B1:23:3E, 2019-07-10 02:35:09, 2019-07-10 02:35:09, -50,        2, (not associated) ,
DA:A1:19:6F:EA:9E, 2019-07-10 02:34:49, 2019-07-10 02:34:49, -80,        2, (not associated) ,
94:7B:E7:EB:8E:45, 2019-07-10 02:35:01, 2019-07-10 02:35:01, -80,        2, (not associated) ,
DA:A1:19:FA:AC:60, 2019-07-10 02:35:25, 2019-07-10 02:35:25, -82,        1, (not associated) ,
DA:A1:19:DB:32:E6, 2019-07-10 02:35:36, 2019-07-10 02:35:36, -80,        1, (not associated) ,
DA:A1:19:3C:A4:8F, 2019-07-10 02:35:36, 2019-07-10 02:35:36, -78,        2, (not associated) ,
DA:A1:19:94:7B:2F, 2019-07-10 02:35:36, 2019-07-10 02:35:36, -78,        2, (not associated) ,
92:D7:9C:2A:7A:BC, 2019-07-10 02:35:40, 2019-07-10 02:35:40, -62,        1, (not associated) ,
DA:A1:19:63:26:DA, 2019-07-10 02:37:40, 2019-07-10 02:37:40, -78,        1, (not associated) ,
DA:A1:19:D7:9A:4E, 2019-07-10 02:37:40, 2019-07-10 02:37:40, -76,        1, (not associated) ,
DA:A1:19:AD:26:11, 2019-07-10 02:37:40, 2019-07-10 02:37:40, -74,        1, (not associated) ,
7C:03:AB:96:DC:65, 2019-07-10 02:38:13, 2019-07-10 02:38:13, -76,        1, EC:43:F6:E0:84:1C,
92:CE:5C:B6:72:15, 2019-07-10 02:38:25, 2019-07-10 02:38:25, -80,        1, (not associated) ,
DA:A1:19:2D:27:DB, 2019-07-10 02:39:02, 2019-07-10 02:39:02, -82,        1, (not associated) ,
DA:A1:19:5A:F9:04, 2019-07-10 02:39:12, 2019-07-10 02:39:12, -78,        2, (not associated) ,INTERNET
DA:A1:19:71:D9:7B, 2019-07-10 02:39:12, 2019-07-10 02:39:12, -78,        2, (not associated) ,
D8:6C:02:95:38:AC, 2019-07-10 02:39:59, 2019-07-10 02:39:59, -64,        3, (not associated) ,
50:76:AF:23:8B:BA, 2019-07-10 02:40:12, 2019-07-10 02:40:16, -66,        4, 14:CC:20:88:2E:4C,Home304
DA:A1:19:64:DD:91, 2019-07-10 02:40:24, 2019-07-10 02:40:24, -78,        2, (not associated) ,
DA:A1:19:6B:0A:BE, 2019-07-10 02:40:23, 2019-07-10 02:40:23, -74,        1, (not associated) ,
DA:A1:19:17:DA:69, 2019-07-10 02:41:00, 2019-07-10 02:41:00, -78,        2, (not associated) ,
DA:A1:19:76:56:E4, 2019-07-10 02:41:50, 2019-07-10 02:41:50, -76,        2, (not associated) ,
DA:A1:19:BA:D2:12, 2019-07-10 02:42:35, 2019-07-10 02:42:35, -82,        1, (not associated) ,
74:2F:68:A0:DC:E3, 2019-07-10 02:35:12, 2019-07-10 02:43:13, -82,        5, (not associated) ,
DA:A1:19:73:49:C2, 2019-07-10 02:43:24, 2019-07-10 02:43:24, -74,        1, (not associated) ,
DA:A1:19:6A:51:93, 2019-07-10 02:43:25, 2019-07-10 02:43:25, -74,        1, (not associated) ,
E6:21:ED:47:32:CC, 2019-07-10 02:43:28, 2019-07-10 02:43:28, -48,        2, (not associated) ,
DA:A1:19:88:E3:36, 2019-07-10 02:43:36, 2019-07-10 02:43:36, -80,        1, (not associated) ,
4E:EA:28:D5:BA:DA, 2019-07-10 02:43:37, 2019-07-10 02:43:37, -48,        2, (not associated) ,
DA:A1:19:2B:D4:E2, 2019-07-10 02:43:52, 2019-07-10 02:43:52, -82,        2, (not associated) ,
32:82:F1:F7:F5:6E, 2019-07-10 02:44:01, 2019-07-10 02:44:03, -46,        6, (not associated) ,
DA:A1:19:B2:74:DD, 2019-07-10 02:44:38, 2019-07-10 02:44:38, -80,        2, (not associated) ,
A8:81:95:3A:46:06, 2019-07-10 02:39:47, 2019-07-10 02:44:50, -84,        4, (not associated) ,
1C:CD:E5:4F:4D:CE, 2019-07-10 02:35:42, 2019-07-10 02:44:52, -80,       10, E8:94:F6:3B:53:A6,
DA:A1:19:19:4A:FE, 2019-07-10 02:45:04, 2019-07-10 02:45:04, -64,        1, (not associated) ,
7E:08:23:39:E1:72, 2019-07-10 02:45:14, 2019-07-10 02:45:14, -52,        3, (not associated) ,
AC:5F:3E:8F:D2:08, 2019-07-10 02:37:09, 2019-07-10 02:45:13, -32,       35, 14:B9:68:4D:3B:2F,
48:88:CA:60:4A:5C, 2019-07-10 02:35:19, 2019-07-10 02:45:28, -82,        4, 14:B9:68:4D:3B:54,
70:28:8B:09:3E:60, 2019-07-10 02:37:07, 2019-07-10 02:45:24, -76,        8, (not associated) ,
DA:A1:19:54:F3:35, 2019-07-10 02:45:27, 2019-07-10 02:45:27, -74,        2, (not associated) ,
DA:A1:19:14:E5:F0, 2019-07-10 02:45:39, 2019-07-10 02:45:39, -80,        3, (not associated) ,
28:3F:69:DC:DB:B1, 2019-07-10 02:35:17, 2019-07-10 02:45:38, -78,       47, (not associated) ,kyivstar13,TPLINK_77,Verizon-MiFi5510L-85E4,sosnovel,KFC,Cafe Chayka,Igor,Alliance,Bro Master,COMFORT HOTEL
DA:A1:19:1D:75:21, 2019-07-10 02:46:03, 2019-07-10 02:46:03, -54,        2, (not associated) ,
90:97:F3:E3:61:9E, 2019-07-10 02:34:36, 2019-07-10 02:47:03, -82,        6, 00:1F:1F:EA:F7:74,
78:D2:94:C2:0D:D1, 2019-07-10 02:34:54, 2019-07-10 02:46:42, -80,       21, (not associated) ,
1C:CD:E5:48:10:FD, 2019-07-10 02:37:27, 2019-07-10 02:47:26, -70,        7, 04:8D:38:86:99:CE,
BC:85:56:98:0E:67, 2019-07-10 02:35:30, 2019-07-10 02:46:31, -78,        9, (not associated) ,
DA:A1:19:2F:05:7E, 2019-07-10 02:46:54, 2019-07-10 02:46:54, -78,        1, (not associated) ,
DA:A1:19:06:48:DB, 2019-07-10 02:46:57, 2019-07-10 02:46:57, -78,        1, (not associated) ,
00:13:CE:D1:C4:05, 2019-07-10 02:44:04, 2019-07-10 02:46:35, -76,        5, (not associated) ,
DA:A1:19:E9:FC:19, 2019-07-10 02:47:20, 2019-07-10 02:47:20, -76,        2, (not associated) ,
D2:B2:2F:77:FE:49, 2019-07-10 02:46:36, 2019-07-10 02:46:36, -74,        1, (not associated) ,
40:78:6A:31:0F:D6, 2019-07-10 02:39:53, 2019-07-10 02:47:21, -70,       92, (not associated) ,Sunjoy,sunjoyua,panorama,TP-LINK_4DD306,HOME16,UKrtelecom_1395,INTERNET,INET,Stari Kaxeti,U_Morya
34:97:F6:0E:28:34, 2019-07-10 02:36:43, 2019-07-10 02:47:07, -70,       81, (not associated) ,SSID
B8:27:EB:DF:F6:2F, 2019-07-10 02:36:19, 2019-07-10 02:47:18, -56,       19, 00:15:FF:A7:E8:51,
F2:D1:C2:52:53:91, 2019-07-10 02:46:50, 2019-07-10 02:46:50, -56,        4, (not associated) ,
C2:9F:DC:8C:FA:DC, 2019-07-10 02:47:07, 2019-07-10 02:47:08, -54,        2, (not associated) ,
F6:8E:44:FE:1B:FD, 2019-07-10 02:47:05, 2019-07-10 02:47:05, -50,        1, (not associated) ,
46:1B:0D:BA:BF:70, 2019-07-10 02:46:25, 2019-07-10 02:46:25, -46,        1, (not associated) ,
CA:71:9A:DB:AA:54, 2019-07-10 02:46:53, 2019-07-10 02:46:53, -46,        2, (not associated) ,
D2:CD:51:CD:D3:EA, 2019-07-10 02:46:48, 2019-07-10 02:46:48, -42,        1, (not associated) ,
DA:A1:19:87:81:60, 2019-07-10 02:47:21, 2019-07-10 02:47:21, -40,        4, (not associated) ,
BA:29:BD:72:80:8F, 2019-07-10 02:46:30, 2019-07-10 02:46:30, -18,        1, (not associated) ,
42:69:14:F0:AF:92, 2019-07-10 02:46:57, 2019-07-10 02:46:57, -18,        2, (not associated) ,
E2:0A:AC:F8:46:A1, 2019-07-10 02:47:00, 2019-07-10 02:47:00, -18,        4, (not associated) ,iPhone
EE:BD:98:98:9D:F4, 2019-07-10 02:46:29, 2019-07-10 02:46:29, -12,        2, (not associated) ,
26:35:66:1A:63:FE, 2019-07-10 02:36:11, 2019-07-10 02:47:05,  -6,       34, BA:53:AC:9C:67:D2,TD7
DA:A1:19:38:58:89, 2019-07-10 02:47:27, 2019-07-10 02:47:27, -72,        4, (not associated) ,INTERNET
